"tract","rPov_A6to17","wPov_A6to17","nPov_A6to17","rPov_A5","wPov_A5","nPov_A5","rPov_Alt5","wPov_Alt5","nPov_Alt5","rBirths_A15to19","wBirths_A15to19","nBirths_A15to19","nAll"
"140302",0.299647473560517,851,255,0.444444444444444,81,36,0.456456456456456,333,152,0,66,0,4472
"140400",0.24237427864798,1213,294,0.452830188679245,53,24,0.139622641509434,530,74,0,283,0,7186
"140500",0.241228070175439,684,165,0.125,80,10,0.231607629427793,367,85,0,130,0,4121
"140601",0.182242990654206,642,117,0,43,0,0,81,0,0,123,0,2969
"140602",0.300523560209424,955,287,0,51,0,0.171681415929204,565,97,0.0338983050847458,236,8,5614
"140701",0.16,325,52,0,33,0,0.163636363636364,110,18,0,42,0,2385
"140702",0.429515418502203,908,390,0.423611111111111,144,61,0.284497444633731,587,167,0,119,0,6252
"140800",0.258682634730539,835,216,0.720930232558139,43,31,0.219626168224299,642,141,0,88,0,7209
"150200",0.390673575129534,965,377,0.488888888888889,90,44,0.181372549019608,408,74,0.247474747474747,198,49,7821
"150300",0.155321188878236,1043,162,0.252427184466019,103,26,0.196796338672769,437,86,0,230,0,7526
"150401",0.282558139534884,860,243,0,35,0,0.23125,160,37,0,358,0,4805
"150402",0.144465290806754,533,77,0,62,0,0.567796610169492,118,67,0,101,0,3695
"150501",0.0738137082601054,569,42,0,49,0,0.121495327102804,214,26,0,77,0,3743
"150502",0.171280276816609,578,99,NA,0,0,0,276,0,0,96,0,4290
"150600",0.296474358974359,624,185,0.615384615384615,26,16,0.127272727272727,275,35,0,93,0,3868
"150700",0.127324749642346,699,89,0,85,0,0.076555023923445,209,16,0,114,0,4621
"150800",0.179523141654979,713,128,0,115,0,0.0903426791277259,321,29,0,217,0,5451
"151001",0.7409200968523,413,306,1,36,36,0.594871794871795,195,116,0,64,0,2538
"151002",0.346715328467153,548,190,0,99,0,0.1252408477842,519,65,0,107,0,4685
"151100",0.247354497354497,756,187,0.467153284671533,137,64,0.329305135951662,331,109,0,168,0,5391
"151200",0.0802919708029197,411,33,0,32,0,0.0660377358490566,212,14,0,88,0,3680
"160100",0,286,0,0,42,0,0,134,0,0,69,0,2626
"160200",0,572,0,NA,0,0,0,292,0,0,94,0,3822
"160300",0.15702479338843,242,38,0.428571428571429,91,39,0.381132075471698,265,101,0,109,0,3877
"160400",0.385802469135802,648,250,0.821428571428571,28,23,0.45398773006135,326,148,0,81,0,5090
"160501",0.33375314861461,794,265,0,97,0,0.301932367149758,414,125,0,70,0,4498
"160502",0.141630901287554,699,99,0,74,0,0.207364341085271,516,107,0,81,0,4568
"160601",0.0570824524312896,473,27,0,15,0,0.136456211812627,491,67,0,81,0,3999
"160602",0.106685633001422,703,75,0,27,0,0.312,125,39,0,154,0,3983
"160700",0.0773109243697479,595,46,0.278350515463918,194,54,0.317286652078775,457,145,0,51,0,6008
"160800",0.102529960053262,751,77,0,26,0,0.102564102564103,390,40,0.16969696969697,165,28,5388
"160900",0,268,0,0,10,0,0.11214953271028,107,12,0,72,0,2272
"161000",0.0966183574879227,207,20,0,15,0,0.256880733944954,109,28,0,36,0,1726
"161100",0.0218068535825545,321,7,0,38,0,0.137931034482759,203,28,0,59,0,2026
"161200",0.133986928104575,306,41,0.2,60,12,0,276,0,0,63,0,2664
"161300",0.227083333333333,480,109,0.85,20,17,0.193771626297578,289,56,0.180952380952381,105,19,3943
"170100",0.0697674418604651,129,9,0,4,0,0.0810810810810811,74,6,0,19,0,1871
"170200",0.0849802371541502,506,43,0,54,0,0.550847457627119,236,130,0,151,0,4366
"170300",0.367174280879865,591,217,0,88,0,0.176991150442478,339,60,0,105,0,4918
"170400",0.214128035320088,453,97,0.666666666666667,30,20,0.24025974025974,154,37,0,103,0,3720
"170500",0,640,0,0,74,0,0.225806451612903,279,63,0.0564102564102564,195,11,4888
"170600",0.0883280757097792,317,28,0,22,0,0.145539906103286,213,31,0,31,0,2774
"170700",0.23989898989899,396,95,0,74,0,0.261306532663317,199,52,0,96,0,2831
"170800",0.0697674418604651,344,24,0,49,0,0.139830508474576,236,33,0,128,0,3750
"170900",0.0878378378378378,296,26,0,18,0,0,72,0,0,67,0,1729
"171000",0.0466367713004484,1115,52,0,64,0,0.147751605995717,467,69,0,221,0,7949
"171100",0.195357833655706,517,101,0.134615384615385,52,7,0.173553719008264,242,42,0.222222222222222,72,16,4257
"180100",0.365482233502538,788,288,0.0990990990990991,111,11,0.0469387755102041,490,23,0,147,0,5918
"190100",0.274822695035461,564,155,0.267857142857143,56,15,0.660130718954248,153,101,0,104,0,2720
"190200",0.363119415109667,1231,447,0.572649572649573,117,67,0.355231143552311,411,146,0,160,0,5694
"190300",0.317503392130258,737,234,0,54,0,0.0859106529209622,291,25,0.0606060606060606,264,16,5445
"190401",0.288801571709234,509,147,0.142857142857143,119,17,0.179310344827586,435,78,0.0192307692307692,104,2,4183
"190402",0.382165605095541,785,300,0.307692307692308,65,20,0.541547277936963,349,189,0,215,0,4642
"190601",0.3701171875,1024,379,0,33,0,0.284697508896797,562,160,0,228,0,4777
"190602",0.14070351758794,796,112,0.405940594059406,101,41,0.225165562913907,302,68,0,156,0,5265
"190701",0.12301013024602,691,85,0.0705882352941176,85,6,0.0301507537688442,199,6,0,45,0,3072
"190702",0.332586786114222,893,297,0.719298245614035,57,41,0.470468431771894,491,231,0.126712328767123,292,37,5090
"190800",0.23789764868603,1446,344,0.263473053892216,167,44,0.278617710583153,463,129,0,238,0,6881
"190900",0.450292397660819,342,154,0.866666666666667,30,26,0.223529411764706,85,19,0.13013698630137,146,19,1864
"191000",0.376518218623482,494,186,0.111111111111111,45,5,0.390756302521008,238,93,0,100,0,2901
"191100",0.335529928610654,1821,611,0.247706422018349,109,27,0.344551282051282,624,215,0.0167064439140811,419,7,7936
"191200",0.463878326996198,789,366,0.394957983193277,119,47,0.59622641509434,530,316,0,161,0,3975
"191301",0.369406021155411,1229,454,0,65,0,0.232283464566929,508,118,0,136,0,5941
"191302",0.312785388127854,1314,411,0.713114754098361,122,87,0.278772378516624,391,109,0,181,0,5088
"200100",0.219707057256991,751,165,0,56,0,0.160984848484848,528,85,0,190,0,4603
"200200",0.283140283140283,777,220,0.439393939393939,66,29,0.252906976744186,344,87,0.141732283464567,127,18,4968
"200300",0.368544600938967,426,157,0.766666666666667,90,69,0.660377358490566,212,140,0,141,0,2401
"200401",0.34331797235023,868,298,0.266129032258065,124,33,0.446078431372549,204,91,0,91,0,3814
"200402",0.285429141716567,501,143,0,64,0,0.345707656612529,431,149,0,113,0,4033
"210100",0.383647798742138,318,122,0,43,0,0.0634920634920635,189,12,0,65,0,3447
"210400",0.414117647058824,425,176,0,41,0,0.274368231046931,277,76,0,94,0,3128
"210501",0.1071953010279,681,73,0,21,0,0.406483790523691,401,163,0,38,0,4569
"210502",0.417312661498708,774,323,0.261904761904762,42,11,0.383908045977012,435,167,0,190,0,4909
"210601",0.118012422360248,322,38,0,13,0,0.236363636363636,165,39,0,40,0,3066
"210602",0.426356589147287,516,220,0.31858407079646,113,36,0.29757785467128,289,86,0.166666666666667,210,35,4126
"210700",0.13166144200627,319,42,0,35,0,0.144262295081967,305,44,0,115,0,3978
"210800",0.260115606936416,173,45,0,25,0,0.276923076923077,65,18,0,21,0,1028
"210900",0.349081364829396,381,133,0,22,0,0.109634551495017,301,33,0,113,0,3223
"220300",0.0459770114942529,174,8,0,22,0,0.0865384615384615,208,18,0,28,0,2409
"220400",0,225,0,0,8,0,0.168604651162791,172,29,0,51,0,2565
"220500",0.375,152,57,0,15,0,0.22680412371134,194,44,0,41,0,2682
"220601",0.216049382716049,162,35,0,21,0,0.0747663551401869,107,8,0,29,0,1596
"220602",0.490654205607477,214,105,1,20,20,0.283819628647215,377,107,0.290909090909091,110,32,4690
"220701",0.354515050167224,598,212,0,69,0,0.455,200,91,0,131,0,3459
"220702",0.305494505494506,910,278,0.182795698924731,186,34,0.520491803278688,244,127,0,179,0,4426
"220901",0.397222222222222,720,286,0.5,30,15,0.545454545454545,198,108,0,205,0,3297
"220902",0.44731977818854,541,242,0.361702127659574,94,34,0.292079207920792,202,59,0,122,0,3325
"221000",0.278169014084507,568,158,0.8,15,12,0.286516853932584,178,51,0,187,0,3254
"221100",0.503257328990228,614,309,0,16,0,0.574766355140187,214,123,0,96,0,4810
"221200",0.167597765363128,358,60,NA,0,0,0.132075471698113,212,28,0,87,0,3065
"221300",0.37603305785124,242,91,0,34,0,0.54066985645933,209,113,0,56,0,2762
"221400",0.313186813186813,364,114,0.75,32,24,0.25,100,25,0,133,0,2799
"221500",0.20353982300885,113,23,0,26,0,0,99,0,0,47,0,2574
"221600",0.113821138211382,246,28,0.320987654320988,81,26,0.122448979591837,245,30,0,73,0,3118
"222200",0,141,0,0,9,0,0,220,0,0,13,0,1964
"222500",0.380952380952381,168,64,0,14,0,0.35,80,28,0,55,0,1424
"222600",0.15625,128,20,0,15,0,0,103,0,0,36,0,1554
"222700",0.456818181818182,440,201,0.542857142857143,35,19,0.43778801843318,217,95,0,63,0,2660
"222800",0.598039215686274,204,122,0,15,0,0.528571428571429,70,37,0,12,0,1014
"222900",0.352631578947368,190,67,NA,0,0,0.75,36,27,0,14,0,878
"230100",0.386292834890966,321,124,0.769230769230769,13,10,0.779069767441861,86,67,0.172413793103448,58,10,1646
"230200",0.425233644859813,428,182,0.409090909090909,22,9,0.415730337078652,89,37,0,59,0,1972
"230300",0.391304347826087,253,99,0.309090909090909,55,17,0.158730158730159,126,20,0,35,0,1170
"230400",0.267657992565056,538,144,0.111111111111111,36,4,0.469512195121951,164,77,0.1375,160,22,2666
"230500",0.487028301886792,848,413,0.2,50,10,0.398340248962656,241,96,0.0858895705521472,326,28,3710
"230600",0.503748125937031,1334,672,0.621794871794872,156,97,0.699619771863118,789,552,0,221,0,6933
"230700",0.427322404371585,915,391,0.19811320754717,106,21,0.299180327868852,488,146,0,193,0,5177
"230800",0,147,0,1,4,4,0.406593406593407,91,37,0,56,0,1195
"230900",0.692849949647533,993,688,0.365591397849462,93,34,0.541547277936963,349,189,0,324,0,5155
"231100",0.326829268292683,205,67,0.242424242424242,33,8,0.685714285714286,70,48,0,32,0,1227
"231200",0.615550755939525,926,570,0.785714285714286,42,33,0.725856697819315,642,466,0.240174672489083,229,55,5102
"231500",0.441860465116279,1591,703,0.410112359550562,178,73,0.806306306306306,666,537,0,267,0,6965
"240200",0.147540983606557,61,9,0,27,0,0,116,0,0,7,0,1469
"240300",0.11864406779661,118,14,0,8,0,0,112,0,0,11,0,1402
"240500",0,77,0,0,6,0,0.0552147239263804,163,9,0,29,0,2154
"240600",0.67479674796748,123,83,NA,0,0,0,101,0,NA,0,0,1340
"240700",0.845238095238095,168,142,0,5,0,0.3359375,128,43,0,12,0,1427
"240800",0.136363636363636,264,36,0,32,0,0.26797385620915,153,41,0,93,0,1816
"240900",0.11965811965812,234,28,0,7,0,0.212765957446809,47,10,0,21,0,1236
"241000",0.427536231884058,414,177,1,22,22,0.580357142857143,112,65,0,81,0,2036
"241100",0.45372460496614,443,201,1,9,9,0.207253886010363,193,40,0.120481927710843,83,10,4015
"241200",0.269090909090909,275,74,0,30,0,0.153061224489796,98,15,0,66,0,1952
"241300",0.536312849162011,179,96,0.3125,16,5,0.238095238095238,84,20,0.1,100,10,1878
"241400",0.385185185185185,270,104,0,18,0,0.0678925035360679,707,48,0,187,0,5238
"241500",0.611842105263158,152,93,NA,0,0,0.124293785310734,177,22,0,54,0,2881
"241600",0.21875,128,28,NA,0,0,0,129,0,0,58,0,3438
"242000",0.407185628742515,334,136,0,46,0,0.0646551724137931,232,15,0,81,0,4786
"242100",0,160,0,0,15,0,0.0376569037656904,239,9,0,10,0,3311
"242200",0.266169154228856,402,107,0,4,0,0,256,0,0,84,0,3875
"242300",0.0978260869565217,92,9,0,28,0,0,121,0,0,65,0,3003
"242400",0.103225806451613,155,16,0,29,0,0,61,0,0,56,0,2926
"242500",0.2839248434238,479,136,0.242857142857143,70,17,0.06640625,256,17,0,78,0,3928
"242600",0.325644504748982,737,240,0.241666666666667,120,29,0.169230769230769,390,66,0,145,0,5999
"242700",0.396078431372549,255,101,0.76,25,19,0.45360824742268,97,44,0,45,0,1689
"242800",0,164,0,0,32,0,0.181818181818182,88,16,0,53,0,1515
"242900",0.222222222222222,162,36,NA,0,0,0.15,180,27,0,11,0,1818
"243000",0.325153374233129,163,53,0.347826086956522,69,24,0.352173913043478,230,81,0,45,0,2398
"243100",0.213991769547325,243,52,0,33,0,0.414746543778802,217,90,0,65,0,2594
"243200",0.151898734177215,158,24,0.127659574468085,47,6,0.278481012658228,158,44,0,4,0,2190
"243300",0.284153005464481,183,52,NA,0,0,0.115384615384615,78,9,0,31,0,2353
"243400",0.438144329896907,194,85,NA,0,0,0.25,92,23,0,31,0,2955
"243500",0.369047619047619,168,62,0.527777777777778,36,19,0.224489795918367,294,66,NA,0,0,3198
"250200",0.337126600284495,703,237,0.266666666666667,60,16,0.390977443609023,266,104,0.176470588235294,102,18,2968
"250300",0.507058823529412,850,431,0.621621621621622,74,46,0.624129930394432,431,269,0.133663366336634,202,27,4775
